resolving conflicts,,Cochrane RoB Tool guidance here: https://training.cochrane.org/sites/training.cochrane.org/files/public/uploads/resources/Handbook5_1/Chapter_8_Handbook_5_2_8.pdf,,,,,,,,
Studies,title ,URLs,Study site,Item1: Random sequence generation (selection bias),Item2: Allocation concealment (selection bias),Item3: Blinding of participants and personnel (performance bias),Item4: Blinding of outcome assesssment (detection bias),Item5: Incomplete outcome data addressed (attrition bias),Item6: Selective reporting (reporting bias),
Sur 2009,"Efficacy and safety of a modified killed-whole-cell oral cholera vaccine in India: an interim analysis of a cluster-randomised, double-blind, placebo-controlled trial",https://pubmed.ncbi.nlm.nih.gov/19819004/,"Kolkata, India",low risk of bias,low risk of bias,low risk of bias,low risk of bias,low risk of bias,low risk of bias,
Sur 2011,"Efficacy of a low-cost, inactivated whole-cell oral cholera vaccine: results from 3 years of follow-up of a randomized, controlled trial",https://pubmed.ncbi.nlm.nih.gov/22028938/,,,,,,,,
Bhattacharya 2013,"5 year efficacy of a bivalent killed whole-cell oral cholera vaccine in Kolkata, India: a cluster-randomised, double-blind, placebo-controlled trial.",https://pubmed.ncbi.nlm.nih.gov/24140390/,,,,,,,,
Clemens 1986,Field trial of oral cholera vaccines in Bangladesh,https://pubmed.ncbi.nlm.nih.gov/2873397/,"Matlab, Bangladesh",unclear risk of bias,low risk of bias,low risk of bias,low risk of bias,unclear risk of bias,low risk of bias,
Clemens 1988,Field trial of oral cholera vaccines in Bangladesh: results of one year of follow-up,https://academic.oup.com/jid/article-abstract/158/1/60/787144,,,,,,,,
Clemens 1990,Field trial of oral cholera vaccines in Bangladesh: results from three-year follow-up,https://pubmed.ncbi.nlm.nih.gov/1967730/,,,,,,,,
Clemens 1992,Evidence that inactivated oral cholera vaccines both prevent and mitigate Vibrio cholerae O1 infections in a cholera-endemic area,"https://pubmed.ncbi.nlm.nih.gov/1402014/#:~:text=These%20results%20suggest%20that%20the,pathogenic%20sequence%20of%20established%20infections.",,,,,,,,
van Loon 1996,Field trial of inactivated oral cholera vaccines in Bangladesh: results from 5 years of follow-up,https://pubmed.ncbi.nlm.nih.gov/8852414/,,,,,,,,
Qadri 2015,Feasibility and effectiveness of oral cholera vaccine in an urban endemic setting in Bangladesh: a cluster randomised open-label trial,https://pubmed.ncbi.nlm.nih.gov/26164097/,"Dhaka, Bangladesh",low risk of bias,low risk of bias,high risk of bias,high risk of bias,low risk of bias,low risk of bias,
Ali 2021,Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30781-7/fulltext,,,,,,,,
Qadri 2016,"Efficacy of a single-dose, inactivated oral cholera vaccine in Bangladesh",https://www.nejm.org/doi/full/10.1056/nejmoa1510330,"Dhaka, Bangladesh",low risk of bias,low risk of bias,low risk of bias,low risk of bias,low risk of bias,low risk of bias,
Qadri 2018,Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,,,,,,,,
Trach 1997,"Field trial of a locally produced, killed, oral cholera vaccine in Vietnam",https://pubmed.ncbi.nlm.nih.gov/9014909/,"Hue, Vietnam",high risk of bias,high risk of bias,high risk of bias,high risk of bias,low risk of bias,low risk of bias,"Third reviewer(AZA)'s comments on the conflicting items:
Sequence generatio: For random sequence generation since the say they enumerated all households and then simply went with every other household receiving vaccine or placebo, this seems OK to me. I def don’t think this is high risk of bias and would be happy with low risk (preferable) or unclear. If unclear, would be useful to state what details we would have wanted that would give us more assurance. 

Attrition bias:  I assume attrition here is really just about migration. Given how short the study was, I can’t imagine the risk is high that there is (1) a lot of migration and (2) that it would be differential between vaccinees and their placebo neighbors. I would go with low risk."
